"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Afghanistan","Iraq","2005","1","1","1","1"
"Afghanistan","Islamic Rep. of Iran","2005","31","31","31","31"
"Albania","Iraq","2005","7","7","7","7"
"Albania","Islamic Rep. of Iran","2005","1","1","1","1"
"Albania","Nepal","2005","1","1","1","1"
"Albania","Serbia (and Kosovo: S/RES/1244 (1999))","2005","40","40","40","40"
"Albania","State of Palestine","2005","1","1","1","1"
"Albania","Turkey","2005","6","6","6","6"
"Algeria","Burundi","2005","1","","1",""
"Algeria","Cameroon","2005","7","","7",""
"Algeria","Congo","2005","4","","4",""
"Algeria","Côte d'Ivoire","2005","8","","8",""
"Algeria","Dem. Rep. of the Congo","2005","34","34","34","34"
"Algeria","Iraq","2005","4","4","4","4"
"Algeria","Liberia","2005","24","","24",""
"Algeria","Libya","2005","6","6","6","6"
"Algeria","Sierra Leone","2005","1","","1",""
"Algeria","Somalia","2005","4","2","4","2"
"Algeria","State of Palestine","2005","4005","","4005",""
"Algeria","Syrian Arab Rep.","2005","3","3","3","3"
"Algeria","Western Sahara","2005","90000","90000","90000","90000"
"Angola","Algeria","2005","1","","1",""
"Angola","Burundi","2005","10","1","10","1"
"Angola","Central African Rep.","2005","6","","6",""
"Angola","Chad","2005","62","","62",""
"Angola","Congo","2005","46","","46",""
"Angola","Côte d'Ivoire","2005","52","1","52","1"
"Angola","Dem. Rep. of the Congo","2005","13464","2078","13464","2078"
"Angola","Eritrea","2005","1","","1",""
"Angola","Guinea","2005","4","","4",""
"Angola","Guinea-Bissau","2005","1","","1",""
"Angola","Iraq","2005","1","","1",""
"Angola","Liberia","2005","51","","51",""
"Angola","Mauritania","2005","7","","7",""
"Angola","Rwanda","2005","148","16","148","16"
"Angola","Sierra Leone","2005","76","","76",""
"Angola","Somalia","2005","10","","10",""
"Angola","Sudan","2005","36","","36",""
"Angola","Uganda","2005","2","","2",""
"Angola","United Rep. of Tanzania","2005","4","","4",""
"Angola","Zambia","2005","2","","2",""
"Argentina","Albania","2005","17","9","17","9"
"Argentina","Algeria","2005","59","2","59","2"
"Argentina","Angola","2005","13","3","13","3"
"Argentina","Armenia","2005","87","53","87","53"
"Argentina","Bangladesh","2005","9","3","9","3"
"Argentina","Belarus","2005","1","","1",""
"Argentina","Bolivia (Plurinational State of)","2005","2","","2",""
"Argentina","Bosnia and Herzegovina","2005","8","","8",""
"Argentina","Bulgaria","2005","1","","1",""
"Argentina","Burundi","2005","2","2","2","2"
"Argentina","Cambodia","2005","51","5","51","5"
"Argentina","Cameroon","2005","1","","1",""
"Argentina","Central African Rep.","2005","1","","1",""
"Argentina","Chad","2005","1","","1",""
"Argentina","Chile","2005","13","","13",""
"Argentina","Colombia","2005","48","23","48","23"
"Argentina","Côte d'Ivoire","2005","1","1","1","1"
"Argentina","Cuba","2005","260","51","260","51"
"Argentina","Dem. Rep. of the Congo","2005","14","7","14","7"
"Argentina","Estonia","2005","2","","2",""
"Argentina","Ethiopia","2005","4","1","4","1"
"Argentina","Georgia","2005","5","5","5","5"
"Argentina","Ghana","2005","7","5","7","5"
"Argentina","Guinea","2005","18","3","18","3"
"Argentina","Haiti","2005","21","13","21","13"
"Argentina","India","2005","28","","28",""
"Argentina","Iraq","2005","24","10","24","10"
